😀	grinning face smile happy
🛸	flying saucer ufo
✈️	airplane flight travel
🚗	car automobile drive
🚲	bicycle bike
🏠	house home
🏢	office building work
⌛	hourglass done time
⏰	alarm clock wake
⌚	watch time
📅	calendar date
📆	tear-off calendar
🗓️	spiral calendar schedule
📈	chart increasing up growth
📉	chart decreasing down loss
📊	bar chart statistics
📋	clipboard list
📌	pushpin pin
📎	paperclip attach
🔒	locked lock secure
🔓	unlocked open
🔑	key password access
🔨	hammer tool build
🛠️	hammer and wrench tools fix
⚙️	gear settings configure
🔧	wrench tool fix
🔩	nut and bolt
⚡	high voltage lightning zap fast
🔋	battery power charge
🔌	electric plug power
💻	laptop computer
🖥️	desktop computer
🖨️	printer print
⌨️	keyboard type
🖱️	computer mouse click
💾	floppy disk save
💿	optical disk cd
📀	dvd disk
📱	mobile phone smartphone
📞	telephone receiver call
📷	camera photo
🎥	movie camera film video
📺	television tv
📻	radio
🎵	musical note music song
🎶	musical notes music melody
🎤	microphone sing karaoke
🎧	headphone music listen
🎮	video game controller gaming
🎲	game die dice random
🧩	puzzle piece jigsaw
🎯	bullseye direct hit target goal
🏆	trophy winner champion
🥇	first place gold medal
🥈	second place silver medal
🥉	third place bronze medal
⚽	soccer ball football
🏀	basketball
🎾	tennis ball
🎳	bowling strike
🎁	wrapped gift present
🎉	party popper celebration tada
🎊	confetti ball celebration
🎂	birthday cake celebrate
🍕	pizza slice
🍔	hamburger burger
🍟	french fries
🌮	taco mexican
🍣	sushi japanese
🍜	steaming bowl ramen noodles
🍩	doughnut donut
🍪	cookie biscuit
🍫	chocolate bar candy
🍿	popcorn movie snack
☕	hot beverage coffee tea
🍵	teacup tea green
🍺	beer mug drink
🍷	wine glass drink
🍸	cocktail glass martini
🥂	clinking glasses cheers toast
🥤	cup with straw soda
🧊	ice cube cold
🍎	red apple fruit
🍌	banana fruit
🍇	grapes fruit
🍓	strawberry fruit
🍉	watermelon fruit
🍋	lemon citrus sour
🥑	avocado
🥕	carrot vegetable
🌽	ear of corn maize
🐶	dog face puppy pet
🐱	cat face kitten pet
🐭	mouse face
🐹	hamster
🐰	rabbit face bunny
🦊	fox
🐻	bear
🐼	panda
🐨	koala
🐯	tiger face
🦁	lion
🐮	cow face
🐷	pig face
🐸	frog
🐵	monkey face
🐔	chicken
🐧	penguin
🐦	bird
🦅	eagle
🦉	owl wise night
🦄	unicorn magic
🐴	horse face
🐝	honeybee bee
🐛	bug insect caterpillar
🦋	butterfly
🐌	snail slow
🐞	lady beetle ladybug
🐢	turtle slow tortoise
🐍	snake python
🦖	t-rex dinosaur
🐙	octopus
🦑	squid
🦀	crab rust
🐟	fish
🐬	dolphin
🐳	spouting whale
🦈	shark
💧	droplet water drip
🎨	artist palette art paint
🧵	thread sewing string
🧶	yarn knitting
👑	crown king queen royal
💍	ring engagement wedding
💎	gem stone diamond jewel
📢	loudspeaker announcement
🔔	bell notification ring
🔕	bell with slash mute silent
📣	megaphone shout
🔍	magnifying glass left search
🔎	magnifying glass right search zoom
🕯️	candle light
💡	light bulb idea
🔦	flashlight torch
📖	open book read
📚	books library study
📝	memo note pencil write
✏️	pencil write
🖊️	pen write
📄	page facing up document
📃	page with curl document
📜	scroll document ancient
📰	newspaper news
🗞️	rolled-up newspaper news
📦	package box delivery shipping
📫	closed mailbox with raised flag mail
✉️	envelope mail letter
📧	e-mail email
💌	love letter
💰	money bag cash rich
💸	money with wings spend loss
💳	credit card payment
🪙	coin money
⚖️	balance scale justice law
🧲	magnet attract
🔬	microscope science lab
🔭	telescope astronomy stars
🧪	test tube experiment science
🧬	dna genetics
💊	pill medicine drug
💉	syringe injection vaccine
🩹	adhesive bandage band-aid
🚑	ambulance emergency
🚨	police car light siren alert emergency
🚦	vertical traffic light
🚧	construction barrier work
⛔	no entry forbidden
🚫	prohibited banned no
✅	check mark button done yes correct
❌	cross mark wrong no
❓	question mark
❗	exclamation mark warning
⚠️	warning caution alert
♻️	recycling symbol
🔄	counterclockwise arrows refresh reload
🔁	repeat button loop
▶️	play button start
⏸️	pause button
⏹️	stop button
⏩	fast-forward button
⏪	fast reverse button rewind
🔀	shuffle tracks button random
🔼	upwards button up
🔽	downwards button down
➕	plus add
➖	minus subtract
➗	divide division
✖️	multiply times
🟰	heavy equals sign
♾️	infinity forever
🆗	ok button okay
🆕	new button
🆓	free button
🔟	keycap ten
#️⃣	keycap number sign hash
*️⃣	keycap asterisk star
🏳️	white flag surrender
🏴	black flag
🏁	chequered flag finish race done
🚩	triangular flag red warning
